_id,Name,Definition,Img,Type
5ec8ac0262d52f6c5cc7e983,Trousers,a piece of clothing that covers the lower body and is divided into two parts to cover each leg separately,https://pixabay.com/vi/photos/c%E1%BA%ADu-b%C3%A9-ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-%C3%B4ng-ng%C6%B0%E1%BB%9Di-nam-3637094/,Clothes
5ec8ac0262d52f6c5cc7e97f,Thailand,a country in South East Asia,https://pixabay.com/vi/vectors/bi%C3%AAn-gi%E1%BB%9Bi-%C4%91%E1%BA%A5t-n%C6%B0%E1%BB%9Bc-c%E1%BB%9D-%C4%91%E1%BB%8Ba-l%C3%BD-2099230/,Country
5ec8ac0262d52f6c5cc7e962,Beef,meat that comes from a cow,https://pixabay.com/vi/photos/b%C3%ADt-t%E1%BA%BFt-rumpsteak-li%E1%BB%87u-th%E1%BB%8Bt-b%C3%B2-2975323/,Food
5ec8ac0262d52f6c5cc7e988,Sneaker,a shoe that you wear for sports or as informal clothing,https://pixabay.com/vi/photos/gi%C3%A0y-ch%C3%A2n-sneaker-gi%C3%A0y-th%E1%BB%83-thao-1028790/,Clothes
5ec8ac0262d52f6c5cc7e98d,Flower,the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time.,https://pixabay.com/vi/photos/mai-m%E1%BA%ADn-spring-flower-m%C3%B9a-xu%C3%A2n-4946160/,Natures
5ec8ac0262d52f6c5cc7e967,French Fry,a long thin piece of potato fried in oil or fat,https://pixabay.com/vi/photos/khoai-t%C3%A2y-chi%C3%AAn-mu%E1%BB%91i-th%E1%BB%B1c-ph%E1%BA%A9m-923687/,Food
5ec8ac0262d52f6c5cc7e984,Jacket,"a piece of clothing worn on the top half of the body over a shirt, etc. that has arms and fastens down the front; a short, light coat",https://pixabay.com/vi/photos/jacket-%C3%A1o-kho%C3%A1t-ngo%C3%A0i-b%E1%BA%B1ng-da-947395/,Clothes
5ec8ac0262d52f6c5cc7e992,Moon, the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun,https://pixabay.com/vi/photos/m%E1%BA%B7t-tr%C4%83ng-si%C3%AAu-m%E1%BA%B7t-tr%C4%83ng-tr%C4%83ng-tr%C3%B2n-5016058/,Natures
5ec8ac0262d52f6c5cc7e96c,Milkshake,"?a drink made of milk, and sometimes ice cream, with the added taste of fruit or chocolate, which is mixed or shaken until it is full of bubbles",https://pixabay.com/vi/vectors/milkshake-n%C3%A2u-s%C3%B4-c%C3%B4-la-r%C6%A1m-u%E1%BB%91ng-34316/,Drink
5ec8ac0262d52f6c5cc7e997,Youtube,?a website where people can watch and share videos,https://pixabay.com/vi/photos/b%E1%BA%A1n-%E1%BB%91ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-th%C3%B4ng-minh-566347/,Entertainment
